optimizer,lambda_smooth,lambda_feas,lambda_fit,mean_runtime_ms,mean_final_total_cost,std_final_total_cost,mean_cost_reduction_ratio,mean_feas_violation,robust_score
Bezier,0.2,0.5,0.05,35.447225000098115,95.5684893359377,3.5019152714505783,0.9993593398175141,4.137710560765587,0.8154958719014037
BSpline,0.2,0.5,0.05,86.7584249972424,235.66323954537665,83.979191242269,0.8645015039475591,15.125918248695346,0.6059278534270973
Bezier,0.2,0.5,0.1,38.473374996101484,97.26663915812367,9.30659674036388,0.9994870026731051,4.191371534414897,0.7841769908002824
BSpline,0.2,0.5,0.1,96.28182500455296,219.58679381858073,168.3962730746211,0.9016650693111417,12.402178299293038,0.6441183021373258
Bezier,0.2,0.5,0.2,36.105024999415036,101.79120198391439,6.9107374832564625,0.9995287124385942,4.202542765082654,0.8455177959296601
BSpline,0.2,0.5,0.2,86.89434999905643,80.01157303127702,44.12092499544105,0.96285731681264,9.381499860930049,0.9187397085646075
Bezier,0.2,0.5,0.4,34.87937499812688,107.79483056162437,7.362792905710778,0.9990867507082035,4.299502801079069,0.7479791318058819
BSpline,0.2,0.5,0.4,85.07829999871319,189.45216349805133,91.43126299909666,0.7848290089472052,12.291640547474866,0.5128615656348479
Bezier,0.2,1.0,0.05,34.348599998338614,187.88046425150856,11.947005548057119,0.9992415604165333,4.407720883662892,0.7975142224934564
BSpline,0.2,1.0,0.05,83.66752499205177,641.8929964430583,614.2575275002695,0.8642176018367124,16.367429025199243,0.6021208806841518
Bezier,0.2,1.0,0.1,36.59334999611019,182.42413262224215,7.831938020879636,0.9992437201556295,4.189037678134545,0.7574888176728609
BSpline,0.2,1.0,0.1,88.14077499846462,325.83207740179256,176.80352058844298,0.9006001398331239,12.757930975097583,0.7115518803365408
Bezier,0.2,1.0,0.2,35.14399999403395,179.61747050316933,5.730831535005413,0.9993224354206428,4.232200244921792,0.8088931250193163
BSpline,0.2,1.0,0.2,84.79914999770699,417.8385510415785,260.34677925879026,0.9046569111354922,14.181845792201484,0.7224445578363933
Bezier,0.2,1.0,0.4,34.5195249938115,187.3716659686666,17.279790345926532,0.9991279671816229,4.133943901747604,0.7677768501224771
BSpline,0.2,1.0,0.4,87.30142499916838,434.72023929689107,365.0971754522377,0.8936093440311048,12.2435074119571,0.7121305269887358
Bezier,0.2,2.0,0.05,35.486099994159304,309.31425806668204,6.278772282683163,0.9993079814725319,3.9827569009796893,0.8034784705352498
BSpline,0.2,2.0,0.05,92.0829499955289,421.70316545682164,307.0285810647749,0.9488992329879432,9.905957330808587,0.8269453024246797
Bezier,0.2,2.0,0.1,34.25967500515981,338.3190347500989,19.437271706988373,0.9988331091598077,4.248018259777923,0.6893468662525195
BSpline,0.2,2.0,0.1,87.59255000040866,1009.6691908746643,574.989340363308,0.852913069738491,14.453828964342804,0.5796461631983534
Bezier,0.2,2.0,0.2,38.841400000819704,306.80179630626094,12.567644471631551,0.9991639382021691,3.9424884776439892,0.6930995024699087
BSpline,0.2,2.0,0.2,94.66985000108252,1610.9723276092648,835.2435313679764,0.8158828598240291,16.521850222192324,0.3927764558859588
Bezier,0.2,2.0,0.4,38.68394999881275,334.5198435824267,21.155138083599372,0.9990663687998699,4.268767327138111,0.6596037878114269
BSpline,0.2,2.0,0.4,90.8482249978988,1112.515097194305,597.6945615744631,0.844594742107736,15.324693693586138,0.5146638849054337
Bezier,0.2,4.0,0.05,35.18919999987702,602.6065722817998,56.418298198358315,0.9990309354315783,4.065931299590936,0.7175438377103012
BSpline,0.2,4.0,0.05,86.7848999951093,1404.4808519236062,1705.5442768020869,0.9155836662302427,10.265922039911551,0.7796151997643928
Bezier,0.2,4.0,0.1,36.631475002650404,629.2530992989051,37.778022366211744,0.999256492539784,3.9248379949640055,0.7577160210547127
BSpline,0.2,4.0,0.1,93.04922500086832,2337.960045514555,1829.4891196189126,0.8907810952832839,16.18934775025843,0.5529055788492588
Bezier,0.2,4.0,0.2,35.34149999904912,656.651345950883,51.23972905974371,0.9989829257809413,4.289190510840196,0.6975072731048303
BSpline,0.2,4.0,0.2,87.69132500310661,1845.0509166185102,1127.4979786323743,0.8753813039021212,12.745076261824478,0.6494091954293325
Bezier,0.2,4.0,0.4,37.68445000241627,652.02475352842,102.14633995580601,0.9989470652576928,3.9469661632264232,0.6320301590433656
BSpline,0.2,4.0,0.4,91.30759999970905,2273.575342879831,1126.0097164973824,0.8539545157739998,16.325108202436144,0.501951335344435
Bezier,0.2,8.0,0.05,35.34722500262433,1382.3177692167217,145.33000523211084,0.9982304942851149,4.181411451922529,0.46712327162603134
BSpline,0.2,8.0,0.05,90.16865000012331,5455.205877670775,6466.66603431204,0.8862818859215389,14.716777253771014,0.5271278898384253
Bezier,0.2,8.0,0.1,36.405424998520175,1365.423892156455,157.32023676772496,0.9985481451698522,4.029876889155384,0.5318786593826242
BSpline,0.2,8.0,0.1,94.5244750000711,2338.9255796230746,2158.024841537672,0.9171524934243085,11.286460182775777,0.6831395277089398
Bezier,0.2,8.0,0.2,35.529624998162035,1180.3375152977464,83.07968062324682,0.9988879641174959,4.030157145702756,0.6644932183489894
BSpline,0.2,8.0,0.2,91.47175000180141,3383.9553984038303,4122.670799728603,0.9215003442602135,12.417138712547917,0.668306041851039
Bezier,0.2,8.0,0.4,34.68980000252486,1435.243492442031,101.15996425488183,0.9984944575551065,4.000704971698442,0.569994451742202
BSpline,0.2,8.0,0.4,88.4931750006217,3280.3175513631386,2385.0734407825425,0.9186131088025261,12.505837314094812,0.7157521421000244
Bezier,0.5,0.5,0.05,38.463374999992084,112.70692061888215,6.680310271054162,0.9996588657899791,4.4415304030763405,0.826242501982545
BSpline,0.5,0.5,0.05,90.53475000109756,263.96784992106006,119.88654723813669,0.86884746250161,15.902533143012601,0.563688459831311
Bezier,0.5,0.5,0.1,37.472450003406266,131.84674869516328,19.07179280598484,0.9996467786416461,4.577150724701032,0.8368964774386943
BSpline,0.5,0.5,0.1,88.57030000217492,235.1655953797062,44.152834592020405,0.8770465388652938,15.26870068292179,0.6124990095840612
Bezier,0.5,0.5,0.2,37.558674997853814,132.96796426710534,16.057704956651587,0.9996966182766436,4.383938945405706,0.8541105470730642
BSpline,0.5,0.5,0.2,88.43782500480302,412.6345103385337,487.9377554777532,0.86750430838813,14.558591074323155,0.6009950817829058
Bezier,0.5,0.5,0.4,37.18404999744962,134.55217852532985,4.627325522630945,0.9995395180621236,4.529050434158474,0.8189210019253951
BSpline,0.5,0.5,0.4,90.80832499967073,175.15465118597785,94.23666700434738,0.9031369748045457,11.073266108966292,0.7255944803289589
Bezier,0.5,1.0,0.05,36.143499997706385,223.94378546176816,20.798133264369216,0.9993962953327711,4.449724755901665,0.7987257837700182
BSpline,0.5,1.0,0.05,87.5787750010204,430.87835628136,341.7057382435116,0.9251033183067776,10.956805953785125,0.7995436169731123
Bezier,0.5,1.0,0.1,34.11552499892423,224.85438294229954,14.45294418579198,0.9992874203614583,4.356650845172752,0.8153898467269881
BSpline,0.5,1.0,0.1,87.05162500336883,152.48654238048397,82.85768294704378,0.9234762868908235,8.942698077610435,0.8442402369902172
Bezier,0.5,1.0,0.2,33.77130000080797,224.29272418875064,18.639930487104934,0.9995234964713376,4.352756237211871,0.8859716787738936
BSpline,0.5,1.0,0.2,83.91574999768636,779.927086627648,611.7806521401353,0.8422094194932448,17.03759391703904,0.5416065773098124
Bezier,0.5,1.0,0.4,37.74784999768599,222.89309039668765,29.964340952701924,0.9995163703613799,4.464283589879539,0.7950027467613936
BSpline,0.5,1.0,0.4,93.99257500263047,820.9653470191973,733.0400042902276,0.8765327356691968,16.213606096006956,0.5313470169613683
Bezier,0.5,2.0,0.05,36.4441000019724,352.3238604189605,12.48526930984531,0.9993159755717281,4.180141922874414,0.7792151577205619
BSpline,0.5,2.0,0.05,89.44770000380231,797.0260100692669,556.5647961230385,0.9100742106583177,13.525808848732753,0.6979154175954639
Bezier,0.5,2.0,0.1,36.43502500199247,391.1026424793826,38.52713723169533,0.9991813521676038,4.3504461940779615,0.7311023555392445
BSpline,0.5,2.0,0.1,87.85329999955138,945.6659771512659,857.0031623953876,0.8743608051027655,13.311755520317995,0.6390129335098017
Bezier,0.5,2.0,0.2,35.89015000034124,369.48939630888134,11.291964530830121,0.9991329998094687,4.2760505367869435,0.7388982305454933
BSpline,0.5,2.0,0.2,88.31357499366277,561.6298411548973,214.12253964338367,0.8760960573069458,12.637398919208323,0.6613281846962558
Bezier,0.5,2.0,0.4,36.79204999934882,368.8480504972369,33.42680887275336,0.999429699058821,4.426916475958455,0.7911779916623285
BSpline,0.5,2.0,0.4,90.5657750008686,1577.0436741069989,755.8321915780185,0.830803465062012,17.844020380997126,0.4376810636138652
Bezier,0.5,4.0,0.05,36.01754999908735,655.9151283765109,55.18896914195818,0.9987456017673744,4.00193551379752,0.624117704967714
BSpline,0.5,4.0,0.05,88.45107500019367,805.6667395228153,480.5771897512852,0.8908356270942682,9.947115875086126,0.7383276154028504
Bezier,0.5,4.0,0.1,33.948925003642216,668.8603193366644,58.52768827001222,0.9991902350461044,4.094592312605281,0.7857183709130908
BSpline,0.5,4.0,0.1,87.86757499547093,3015.408128961611,1879.262938795525,0.8420556383109882,15.971163065515746,0.5050228157621168
Bezier,0.5,4.0,0.2,34.97007500118343,633.3679098261,66.10289954931932,0.9993746402827378,4.052492645574785,0.8135527615796656
BSpline,0.5,4.0,0.2,88.23439999832772,2936.9680255546336,1808.9801803288296,0.8525118072680118,18.222522785541205,0.4805034423878259
Bezier,0.5,4.0,0.4,36.32680000009714,688.837400737984,62.18877354351981,0.9992744732577605,4.180793561576642,0.7559444923548211
BSpline,0.5,4.0,0.4,90.18565000224044,644.7517868592329,339.1180411174977,0.965799797949964,9.804031205030476,0.8810133316975988
Bezier,0.5,8.0,0.05,34.671249995881226,1362.1170836605513,112.8344341059029,0.9986525111509026,4.152364768549186,0.6066396316531993
BSpline,0.5,8.0,0.05,90.59642500142218,1476.2940761405055,1108.438479827109,0.926643612748484,10.001672902243055,0.7808754504187374
Bezier,0.5,8.0,0.1,36.242100002709776,1233.903834099986,8.571081429197777,0.9992280622981049,3.945863837484273,0.7660384045161541
BSpline,0.5,8.0,0.1,91.37617500164197,5692.008267737418,2320.207291675056,0.8562427798462382,18.0450393070898,0.4540705364238754
Bezier,0.5,8.0,0.2,38.96977499971399,1258.7640183672138,90.81056568508679,0.999172810822962,4.1566292627083214,0.6652044186925634
BSpline,0.5,8.0,0.2,94.17892500277958,2509.955026605967,1566.0228001731284,0.918667719771836,11.100620454798893,0.7023268551957196
Bezier,0.5,8.0,0.4,36.59302499727346,1250.1051038873798,99.42462145986195,0.9991026251804963,3.9910171312445613,0.6971068748434394
BSpline,0.5,8.0,0.4,95.57275000406662,1957.9754925709804,1459.2063590566627,0.9166424762097216,10.376568049887542,0.7007420999174366
Bezier,1.0,0.5,0.05,36.941400001524016,184.01732213947136,30.421725894257914,0.999640117058761,5.89165165022192,0.8120954323884606
BSpline,1.0,0.5,0.05,87.74067500053206,112.96135997725548,101.91253575894112,0.94284694445645,8.706419170643208,0.8818405482774241
Bezier,1.0,0.5,0.1,39.056199999322416,156.86529317302168,29.632255974966967,0.999762583055507,5.101716288739299,0.8200833857288394
BSpline,1.0,0.5,0.1,96.0631750022003,186.74257825840408,86.76209742835371,0.9069462900300803,13.0952527517205,0.6448638839674182
Bezier,1.0,0.5,0.2,40.554200000769924,172.57549636959843,34.3081863114822,0.9997876732588594,5.531661624211106,0.7841948842704171
BSpline,1.0,0.5,0.2,95.73459999228362,460.41555030736055,326.9628716367223,0.8623180058529143,17.358503322531817,0.4698634684710603
Bezier,1.0,0.5,0.4,38.15617500004009,211.60634267617294,79.15835430314866,0.9995255287491056,6.200136145184491,0.7340724754433254
BSpline,1.0,0.5,0.4,93.72375000384636,260.6965481088964,185.34549099856937,0.8607399287405606,12.792292687191514,0.5762809316034005
Bezier,1.0,1.0,0.05,40.16197500095586,256.5099234087197,33.8163609631135,0.9996615177258878,4.628090051002718,0.7792398857747448
BSpline,1.0,1.0,0.05,98.51922499365173,190.1457024085949,56.62142791520465,0.9521001239018864,10.033079874371953,0.7743583369921947
Bezier,1.0,1.0,0.1,38.03469999911613,253.7541683790006,30.614612849193893,0.9996108691970118,4.4044116346176585,0.816041223332844
BSpline,1.0,1.0,0.1,90.17180000591907,749.4673334671294,335.941299251635,0.762454342220303,17.812318733898042,0.30809511008517876
Bezier,1.0,1.0,0.2,36.69087500020396,236.05277721794113,18.161642299559446,0.9997389064806599,4.563012435551439,0.8790033241165497
BSpline,1.0,1.0,0.2,93.64844999436173,287.0416681001803,179.77744505376796,0.9328180898457505,11.16031539137962,0.7568251378847923
Bezier,1.0,1.0,0.4,40.59940000297502,275.6297237649715,32.82781766026374,0.9996975320767592,4.638061911085721,0.7799874526653602
BSpline,1.0,1.0,0.4,99.33147499759798,454.03389075525587,117.58831154788702,0.8975933274873332,14.835841334367547,0.5606494036091612
Bezier,1.0,2.0,0.05,39.17012500096462,410.1690579638012,50.120035314647936,0.999566386085029,4.409155093254051,0.7743997424457199
