sample_idx,t_rel_s,stamp_s,t_in_traj_s,x_des_m,y_des_m,z_des_m,x_act_m,y_act_m,z_act_m,ex_m,ey_m,ez_m,e_pos_norm_m,vx_des_mps,vy_des_mps,vz_des_mps,speed_des_mps,vx_act_mps,vy_act_mps,vz_act_mps,speed_act_mps,wx_act_radps,wy_act_radps,wz_act_radps,roll_des_rad,pitch_des_rad,yaw_des_rad,roll_act_rad,pitch_act_rad,yaw_act_rad,e_roll_rad,e_pitch_rad,e_yaw_rad,e_ang_norm_rad,roll_des_deg,pitch_des_deg,yaw_des_deg,roll_act_deg,pitch_act_deg,yaw_act_deg,e_roll_deg,e_pitch_deg,e_yaw_deg,e_ang_norm_deg
0,0.0,1775827581.794161,0.003785996,-19.310267158131516,0.9194586061931838,0.9004872092136122,-19.31,0.92,0.9013349465572895,0.0002671581315176752,0.0005413938068162816,0.0008477373436772684,0.0010407397970482496,-0.3424019791205681,-0.7361822049546941,-0.43843576427590286,0.9227292525946234,0.0,0.0,0.0014775542151742726,0.0014775542151742726,0.0,0.0,0.0,0.0,0.4951356791326608,-2.006140278290422,0.0,0.0,0.0,0.0,-0.49513567913266066,2.006140278290422,2.0663393131161527,0.0,28.36918470064521,-114.94337105724163,0.0,0.0,0.0,0.0,-28.3691847006452,114.94337105724163,118.39252168351706
1,0.005713462829589844,1775827581.7998745,0.009499541,-19.31143857075528,0.9169932064662388,0.8986192698643006,-19.31,0.92,0.9013422418068001,0.0014385707552797555,0.0030067935337612095,0.002722971942499486,0.004304052668387529,-0.4142761896431555,-0.8983303132964111,-0.49618029271773423,1.1067145051791525,0.0,0.0,0.0014406938918638864,0.0014406938918638864,0.0,0.0,0.0,0.0,0.46490323164202596,-2.002894060752652,0.0,0.0,0.0,0.0,-0.46490323164202607,2.002894060752652,2.056141929291227,0.0,26.636993055080957,-114.75737649294607,0.0,0.0,0.0,0.0,-26.636993055080964,114.75737649294607,117.80825462827384
2,0.010007381439208984,1775827581.8041685,0.013793428,-19.312903806485743,0.9138648589546235,0.8967360575445076,-19.31,0.92,0.9013493549006807,0.002903806485743843,0.006135141045376491,0.004613297356173107,0.008206982408278034,-0.4666000560996495,-1.0180507817342974,-0.5378553624903495,1.2423491447663315,0.0,0.0,0.0014046877945006662,0.0014046877945006662,0.0,0.0,0.0,0.0,0.44774524566068363,-2.0005532871590423,0.0,0.0,0.0,0.0,-0.44774524566068363,2.0005532871590423,2.05004616040093,0.0,25.65391287340541,-114.62326004523655,0.0,0.0,0.0,0.0,-25.65391287340541,114.62326004523655,117.45899279797268
3,0.015003204345703125,1775827581.8091643,0.018789239,-19.315212847836445,0.9088821603248779,0.8940551219291499,-19.31,0.92,0.9013562901312226,0.005212847836446599,0.011117839675122143,0.0073011682020727164,0.014285909096820678,-0.5256503717850917,-1.1550325803836974,-0.5844837701919234,1.3971506191972978,0.0,0.0,0.001369546608312443,0.001369546608312443,0.0,0.0,0.0,0.0,0.4316167668550923,-1.9978797586812833,0.0,0.0,0.0,0.0,-0.4316167668550923,1.9978797586812833,2.043970783445504,0.0,24.72981910787883,-114.47007814705293,0.0,0.0,0.0,0.0,-24.72981910787883,114.47007814705293,117.11089933947572
4,0.020020484924316406,1775827581.8141816,0.023806441,-19.31815760438118,0.9024601708896075,0.8908612250329768,-19.31,0.92,0.9013630518193091,0.008157604381182182,0.017539829110392535,0.010501826786332269,0.022010917298281373,-0.6317094724034078,-1.3992007500735564,-0.6686344245001002,1.674482484279001,0.0,0.0,0.0013352765793730906,0.0013352765793730906,0.0,0.0,0.0,0.0,0.4107620489282905,-1.9948793415441086,0.0,0.0,0.0,0.0,-0.4107620489282904,1.9948793415441086,2.0367299890165174,0.0,23.534931787737264,-114.29816690831409,0.0,0.0,0.0,0.0,-23.534931787737257,114.29816690831409,116.69603237837296
5,0.02748274803161621,1775827581.8216438,0.031268748,-19.32363351771416,0.8903609504247998,0.8852463917405039,-19.31,0.92,0.9013670273584542,0.01363351771416177,0.02963904957520025,0.016120635617950296,0.036389846904188373,-0.8022249775374134,-1.8009745203803076,-0.80193606717176,2.1284209154852083,0.0,0.0,0.0013151334246178637,0.0013151334246178637,0.0,0.0,0.0,0.0,0.38631238573917037,-1.9898511737387048,0.0,0.0,0.0,0.0,-0.3863123857391706,1.989851173738705,2.027003935123164,0.0,22.134069276484315,-114.0100741143809,0.0,0.0,0.0,0.0,-22.134069276484325,114.01007411438091,116.13877053896702
6,0.029563188552856445,1775827581.8237243,0.033349047,-19.325382325289365,0.8864593343479732,0.8835084360353433,-19.31,0.92,0.9013709429100073,0.015382325289365895,0.033540665652026846,0.017862506874663953,0.04099586973752766,-0.8474158870857452,-1.9100151458578327,-0.8367112017140633,2.2508569874973023,0.0,0.0,0.0012952804987045583,0.0012952804987045583,0.0,0.0,0.0,0.0,0.38087193059765695,-1.9883735364851787,0.0,0.0,0.0,0.0,-0.3808719305976571,1.9883735364851791,2.024522844551714,0.0,21.822354158245346,-113.92541173610255,0.0,0.0,0.0,0.0,-21.822354158245354,113.92541173610257,115.99661452063324
7,0.034580230712890625,1775827581.8287413,0.038366138,-19.329978226185236,0.8761272580937628,0.8790279999460007,-19.31,0.92,0.9013773377715236,0.019978226185237702,0.043872741906237245,0.022349337825522952,0.05313605089879351,-0.9521982726617751,-2.1676743734969754,-0.9162992376147151,2.5387197625631863,0.0,0.0,0.0012627904769079883,0.0012627904769079883,0.0,0.0,0.0,0.0,0.369264546577393,-1.9846929693812698,0.0,0.0,0.0,0.0,-0.36926454657739294,1.9846929693812694,2.018752706021827,0.0,21.157300042696626,-113.71453077483388,0.0,0.0,0.0,0.0,-21.157300042696622,113.71453077483386,115.66600993566489
8,0.0395658016204834,1775827581.833727,0.043351879,-19.33505148146463,0.8645977333368371,0.8741949685230233,-19.31,0.92,0.9013835721595994,0.025051481464632985,0.05540226666316295,0.02718860363657616,0.06660486500771479,-1.0504361770165007,-2.416278442641121,-0.9893959434730177,2.8143777300352033,0.0,0.0,0.0012311040936053006,0.0012311040936053006,0.0,0.0,0.0,0.0,0.3592268250711584,-1.9808820146966857,0.0,0.0,0.0,0.0,-0.35922682507115855,1.980882014696686,2.013190867255141,0.0,20.582180964461685,-113.4961791554916,0.0,0.0,0.0,0.0,-20.582180964461692,113.49617915549162,115.34734004800153
9,0.04457545280456543,1775827581.8387365,0.048361437,-19.340627487417965,0.8517834543535815,0.8689868429282671,-19.31,0.92,0.9013896501743582,0.030627487417966393,0.06821654564641855,0.032402807246091125,0.08149528822511722,-1.1432299536636494,-2.6585950286821514,-1.0568237230349666,3.0809054894716796,0.0,0.0,0.0012002292858227163,0.0012002292858227163,0.0,0.0,0.0,0.0,0.35013406334470565,-1.9769052071252298,0.0,0.0,0.0,0.0,-0.35013406334470565,1.9769052071252293,2.007672299025197,0.0,20.061204093417853,-113.2683248657115,0.0,0.0,0.0,0.0,-20.061204093417853,113.26832486571148,115.03114937947076
